canonical_filename,sha256,file_size_bytes,directory
2023-07-10__MOCA__ADVISORY__Medical_Devices_Revision_Of_Prices_PCR.pdf,51cf787d3e2d4b9949a3161ef11a6e62d961714ac258e964a175f6302b3ce1a2,411936,05_OFFICIAL_FAQ_GUIDANCE
2025-11-20__MOCA__FAQ__Legal_Metrology_FAQ.pdf,a1095f985cdb5ba62079aa103b10126c9e9d4364d2a8402103d00d15a79c54c0,4700655,05_OFFICIAL_FAQ_GUIDANCE
2017-07-04__MOCA__GST__Permission_Rule_33_Relaxing_Rule_18_3.pdf,b52576763c0c3b5885d40eacb3b7bdfdc7c948323af349015e88f6140cc389d7,719790,05_OFFICIAL_FAQ_GUIDANCE/GST
2017-11-17__MOCA__GST__Permission_Declare_Revised_MRP_Unsold_Stock.pdf,9d191bebb6fe514077205270f13bd800fe6a9d5ea06f75deed03e82801619a62,604527,05_OFFICIAL_FAQ_GUIDANCE/GST
2017-07-07__MOCA__GST__Impact_Of_GST_On_Unsold_Stock.pdf,44ca821df97af26df13243ed36060da4e67ff574ae1d23d841ad121cc69c1508,365109,05_OFFICIAL_FAQ_GUIDANCE/GST
2017-07-18__MOCA__GST__Joint_Clarification_DoR_DoCA.pdf,ae1e94941565cb5d8bf1c6e4f4254274ce3e19d31f59b07c838bb665627ab043,103347,05_OFFICIAL_FAQ_GUIDANCE/GST
2017-07-20__MOCA__GST__Legal_Metrology_GST_FAQs.pdf,768f61dafad8ac8580ee0ca460cdf7831d65106896b5ef991c1f0397ca930509,34734,05_OFFICIAL_FAQ_GUIDANCE/GST
2017-11-16__MOCA__GST__Notification_MRP_Revision.pdf,31e88334bfaaafa1400b33916a8cf57f348fb5c4c748642c91a73b969f922409,349662,05_OFFICIAL_FAQ_GUIDANCE/GST
2017-11-20__MOCA__GST__MRP_Unsold_Prepackaged_Commodities.pdf,1d4cca3b360fae6519712bbb1b56f7483b11aa5d8062519e9696e02f3d11781d,2218720,05_OFFICIAL_FAQ_GUIDANCE/GST
2010-12-31__MOCA__RULES__Model_Draft_Legal_Metrology_Enforcement_Rules_2010.pdf,4b2150a857892425494375f5d1fe4cdfb12f755b3595f2e703f2346ea41401b1,640410,06_OFFICIAL_ENFORCEMENT_INSPECTION
2023-12-29__MOCA__SOP__Edible_Oils_Fats_Net_Quantity_Measurement.pdf,c1aeded56ff35bde5c2d44cfbde3f5c5a86f1905870a70e4ded4345438e048c0,2348207,06_OFFICIAL_ENFORCEMENT_INSPECTION
2025-01-15__NIC_DOCA__WORKFLOW__eMaap_Enforcement_Flow.pdf,9d3031b0579d942f1d15ab99e768c3e7b807a9598178bc60845c2b10cca1fd82,1108394,06_OFFICIAL_ENFORCEMENT_INSPECTION
2025-01-15__NIC_DOCA__WORKFLOW__eMaap_Packaged_Commodities_Rules_Flow.pdf,11b4585405de09b263927f4c99edceb306c7a5c02d5813f3113cdf6311c4a9c0,42267,07_E_MAAP
2025-01-15__NIC_DOCA__DOC__eMaap_System_Design_Document.pdf,e8256dfb5091a01d1a1658ec5d08b770edebfc1609a34d626281567a1f1d45b5,5637322,07_E_MAAP
2025-01-15__NIC_DOCA__SPEC__NIC_eMaap_Functional_Requirements_Specification.pdf,9d6ce79484ff570784e27abbb8cf46302891732096448fe37742f45237f4d538,2299953,07_E_MAAP
2007-10-12__SC__JUDGMENT__Whirlpool_Of_India_vs_UOI_Prepackaged_Commodity.pdf,6670734d734bb681f8ba068df9f08ec510daa79d85edb762a8071ffdd995581a,13963,06_OFFICIAL_ENFORCEMENT_INSPECTION/JUDGMENTS
2007-08-23__SC__JUDGMENT__Jayanti_Food_Processing_vs_CCE.pdf,c044632f50cb76f7e71bbf6ddedcc866b1bd0bad3962b5168934a3d93e9cc045,82093,06_OFFICIAL_ENFORCEMENT_INSPECTION/JUDGMENTS
1999-08-03__SC__JUDGMENT__India_Photographic_vs_HD_Shourie_MRP.pdf,e0964ed46eab5a597bee71913b9b9379c0a6116ba50470d1e4cce245650bb758,23913,06_OFFICIAL_ENFORCEMENT_INSPECTION/JUDGMENTS
1999-09-17__SC__JUDGMENT__State_Of_Kerala_vs_Flora_Enforcement.pdf,6de4ef5c08f4d1ec810f22fc79a075105b5aaca523028c3393ee5372d560ea25,2619547,06_OFFICIAL_ENFORCEMENT_INSPECTION/JUDGMENTS
2008-05-23__DHC__JUDGMENT__Reebok_India_vs_UOI_Mandatory_Declarations.pdf,9d7d6350ee683c5c9880e6923d40bf085b9d73330bbed5bcc98bbe3451f745d1,256572,06_OFFICIAL_ENFORCEMENT_INSPECTION/JUDGMENTS
2015-03-05__DHC__JUDGMENT__UOI_vs_National_Restaurant_Association_MRP.pdf,e32da3fb6e024730d56d29f8003ce46d1516c7a426c6b954c57ee07d5d77320c,160906,06_OFFICIAL_ENFORCEMENT_INSPECTION/JUDGMENTS
2017-07-25__MOCA__GST__GST_for_Common_Man.pdf,64ef13f9c754ff74f62a0095e368103368d10a71727073533070eb710d39c5fc,436502,05_OFFICIAL_FAQ_GUIDANCE/GST
2017-11-10__MOCA__GST__Consumers_Benefit_Lower_GST_Rates.pdf,f1f1eb4ce4a3ff43f177d5ee60a9a079732c5bb01a86efd9ad30ef16e50e5bb8,1277747,05_OFFICIAL_FAQ_GUIDANCE/GST
2018-02-07__MAHA__RULES__Maharashtra_LM_Enforcement_Amendment_Rules_2018.pdf,cb87134a72cef99183e6a3074102838424b5e7fee8ea774e49b9a62f097b9059,110419,08_STATE_LEGAL_METROLOGY
2024-01-15__MOCA__ADVISORY__Edible_Oils_Fats_Net_Quantity_SoP_Amendment.pdf,416b84767db52019122ea6adc1399dc8dd61ee5db13df21c5b4fb62a384205fa,743310,06_OFFICIAL_ENFORCEMENT_INSPECTION
2024-03-15__MOCA__ADVISORY__Use_of_Customary_Units_Supplementary_Statements.pdf,49722b84ace4bcd9ee21dc8aaed6fe4e4106ef3fc8e7acde9d7d13dca38293ea,634335,05_OFFICIAL_FAQ_GUIDANCE
2024-05-10__MOCA__ADVISORY__NITI_Aayog_Non_Financial_Regulatory_Reforms.pdf,03f01cdd593a0deb7b2c3681c3a7f08f5c4e59fc0f499cf4fad28d5c0b05be52,674591,05_OFFICIAL_FAQ_GUIDANCE
